collection_name,index,mid,display_name
Speech aggregate,0,/m/09x0r,"Speech"
Speech aggregate,1,/m/05zppz,"Male speech, man speaking"
Speech aggregate,2,/m/02zsn,"Female speech, woman speaking"
Speech aggregate,3,/m/0ytgt,"Child speech, kid speaking"
Speech aggregate,4,/m/01h8n0,"Conversation"
Speech aggregate,5,/m/02qldy,"Narration, monologue"
Insect aggregate,126,/m/03vt0,"Insect"
Insect aggregate,128,/m/09f96,"Mosquito"
Insect aggregate,129,/m/0h2mp,"Fly, housefly"
Insect aggregate,130,/m/07pjwq1,"Buzz"
Insect aggregate,131,/m/01h3n,"Bee, wasp, etc."
Bell aggregate,200,/m/0395lw,"Bell"
Bell aggregate,201,/m/03w41f,"Church bell"
Bell aggregate,202,/m/027m70_,"Jingle bell"
Bell aggregate,203,/m/0gy1t2s,"Bicycle bell"
